wdid,spectype,teff,logg,Dlogg,mass,Dmass
1FGL J1338.9+1153,DC,6300.0,10.0,0.5,,
2MASS J00022257+6357443,DC,4879.0,7.939,0.032,0.542,0.019
2MASS J00173691+1451019,DC,6300.0,8.98,0.034,,
2MASS J01503855-7207164,DC,6838.0,8.132,0.025,0.656,0.016
2MASS J02145697+7746000,DC,4798.0,8.175,0.081,0.691,0.054
2MASS J02451962-0256280,DC,9557.0,9.0,0.5,,
2MASS J03003728+6228285,DC5,9364.0,7.329,0.02,0.277,0.009
2MASS J03092486+0025256,DC-IRfaint,5561.0,8.166,0.009,0.675,0.006
2MASS J03105758+6634022,DC,4681.0,7.817,0.039,0.472,0.016
2MASS J04010150+5131304,DC,5064.0,8.233,0.006,0.73,0.006
2MASS J04255699+4614177,DC,4479.0,8.25,0.123,0.74,0.082
2MASS J05265609+4435395,DC,4680.0,7.853,0.063,0.492,0.03
2MASS J07085228-6706314,DCP,4862.0,7.86,0.018,0.497,0.01
2MASS J08221922+2023264,DC,7038.0,7.546,0.007,0.344,0.004
2MASS J08490170+4439355,DC,5907.0,8.155,0.018,0.669,0.016
2MASS J11182722-4721570,DC,5910.0,8.077,0.016,0.619,0.01
2MASS J13131314+0226457,DC,4278.0,7.885,0.017,0.509,0.013
2MASS J13411316+0100266,DC:,3901.0,8.817,,1.103,
2MASS J13453297+4200437,DC,4648.0,7.313,0.009,0.315,0.004
2MASS J17432300+1434519,DC,10224.0,7.947,0.028,0.55,0.016
2MASS J17470830+2859098,DC,4832.0,7.745,0.042,0.449,0.019
2MASS J18195921+1739190,DC,4835.0,7.974,0.049,0.563,0.029
2MASS J19400895+8348579,DC,4805.0,8.31,0.06,0.781,0.041
2MASS J21220558-3838347,DC,5060.0,7.809,0.017,0.481,0.008
2MASS J22103453+4532401,DC,5290.0,7.854,0.028,0.484,0.017
2MASS J23053906+4334038,DC,4797.0,7.781,0.012,0.454,0.009
2QZ J002751.5-293506,DC,9782.0,8.092,0.106,0.636,0.095
2QZ J022151.0-321137,DC,10434.0,7.857,0.116,0.501,0.092
2QZ J104923.7+000845,DC:,8105.0,8.302,,0.786,
2QZ J105314.1-002534,DC,10259.0,8.016,,0.611,
2QZ J113314.2-025625,DC,10452.0,7.947,,0.571,
2QZ J114137.1-002730,DC+M:,10903.0,6.9,0.5,,
2QZ J114518.6-021210,DC,6841.0,8.414,,0.858,
2QZ J125435.7-011822,DC:,6913.0,8.213,,0.725,
2QZ J132326.9-004157,DC,9197.0,7.98,,0.587,
2QZ J132835.2-013939,DC:,10743.0,8.401,0.098,0.839,0.088
2QZ J132849.0-002427,DC,7895.0,7.964,0.084,0.555,0.071
2QZ J135507.2-015514,DC_VERYHOT,22288.0,6.437,,0.169,
2QZ J142101.4-021221,DC:,10440.0,8.106,,0.665,
2QZ J235448.6-311113,DC:,8222.0,8.103,0.07,0.64,0.063
2SLAQ J122723.99-004316.3,DC,8689.0,8.196,,0.718,
2SLAQ J145832.73-011245.4,DC:,6911.0,8.318,,0.794,
2SLAQ J230639.10-002412.8,DC,7323.0,8.734,,1.061,
A3 181,DC,9904.0,7.632000000000001,0.258,0.546,0.039
BD+20 5125B,DC,4748.0,7.328,0.073,0.319,0.059
CSO 1074,DC,9251.0,7.983,0.027,0.569,0.022
CSO 627,DC,9691.0,8.035,0.018,0.601,0.016
CSO 903,DC,9064.0,8.107,0.015,0.644,0.014
EGGR 1,DC,7890.0,7.96,0.01,0.553,0.008
EGGR 181,DC,8972.0,8.273,0.008,0.752,0.007
EGGR 250,DCP,7155.0,8.217,0.02,0.712,0.013
EGGR 252,DC,6471.0,8.042,0.006,0.599,0.005
EGGR 322,DC,9614.0,8.17,0.023,0.685,0.015
EGGR 334,DC5,11303.0,8.027,,0.62,
EGGR 344,DC,7164.0,8.281,0.004,0.755,0.004
EGGR 385,DC,7660.0,7.935,0.01,0.538,0.008
EGGR 411,DC,4824.0,7.858,0.009,0.496,0.007
EGGR 417,DC,4965.0,8.181,0.05,0.695,0.033
EGGR 428,DCP,7215.0,8.695,0.02,1.038,0.012
EGGR 463,DC,4721.0,8.071,0.074,0.623,0.047
EGGR 536,DC,3780.0,7.544,0.059,0.359,0.025
EGGR 539,DC,3924.0,7.735,0.116,0.44,0.049
EGGR 555,DC,4563.0,7.808,0.071,0.477,0.031
EGGR 584,DCP,6424.0,8.467,0.024,0.878,0.016
EGGR 85,DC,7341.0,8.045,0.006,0.602,0.005
EGGR 89,DC,7067.0,8.133,0.017,0.657,0.015
ESO 207-21,DC,4660.0,8.02,0.16,0.58,0.1
FBQS J0213-0501,DC:,9852.0,6.5,0.5,,
FBS 1103+619,DC,9879.0,8.011,0.015,0.587,0.013
FOCAP QNY5:58,DC,9850.0,8.039,0.045,0.603,0.039
G234-052,DCe+M2V,,,,,
GALEX 2391871135490771040,DC,8532.0,8.02,,0.608,
GALEX 2420968611208233447,DC:,10092.0,8.034,,0.621,
GALEX 2470297100876783023,DC,9292.0,8.104,,0.661,
GALEX 2486411543293463786,DC,10591.0,8.022,,0.615,
GALEX 2487044861991065335,DC,10337.0,7.973,,0.585,
GALEX 2665051280517368153,DC:,10050.0,7.756,,0.468,
GALEX 2672721465042798024,DC,9886.0,8.302,,0.789,
GALEX 2673530701305875476,DC,9809.0,7.917,,0.552,
GALEX 2679934274205909976,DC:DB:DC,10379.0,7.517,,0.365,
GALEX 2680215732002753374,DC:,9818.0,7.37,,0.31,
GALEX 2680954616701521003,DC:DB:DC,10761.0,7.858,,0.523,
GALEX 2684261964857740427,DC,10468.0,8.115,,0.672,
GALEX 2684297140639891846,DC,10715.0,8.354,,0.826,
GALEX 2684684164437901878,DC:,15337.0,8.442,0.05,,
GALEX 2684754537477048720,DC,,,,,
GALEX 2685774888562591391,DC,9996.0,8.256,,0.76,
GALEX 2686760068160948593,DC,9748.0,7.996,1.052,0.492,0.093
GALEX 2687006324405834124,DC,10730.0,8.088,,0.655,
GALEX 2687182246266275150,DC,10275.0,8.012,,0.608,
GALEX 2695767220171049403,DC,11989.0,8.432,,0.878,
GALEX 2698194946140144483,DC:DB:DC,10930.0,8.293,,0.786,
GALEX 2699250498777646351,DC,9740.0,8.117,,0.671,
GD 193,DC,9823.0,7.962,0.011,0.558,0.009
GD 248,DC,9610.0,7.957,0.011,0.554,0.009
GD 366,DC,8685.0,8.264,0.022,0.745,0.015
GD 44,DC,8749.0,8.074,0.026,0.623,0.016
GD 84,DC,9935.0,8.048,0.028,0.609,0.017
GJ 1039,DC,6941.0,8.227,0.018,0.718,0.012
GJ 1234,DC,6310.0,8.176,0.015,0.683,0.01
GJ 3001,DC,6332.0,8.143,0.017,0.662,0.011
GJ 3031,DC,5625.0,7.579,0.02,0.388,0.008
GJ 3285,DC,6153.0,8.213,0.016,0.707,0.011
GJ 3529,DC,5065.0,7.93,0.022,0.527,0.013
GJ 3866,DC,4980.0,8.448,0.022,0.875,0.015
GJ 4133,DC,4577.0,8.142,0.024,0.668,0.016
Gaia DR2 1000142959474643584,DC,9935.0,8.163,,0.7,
Gaia DR2 1005909000316328192,DC,6659.0,8.264,,0.758,
Gaia DR2 1007682723024253184,DC,4768.0,7.994,0.077,0.575,0.047
Gaia DR2 1014142383899931392,DC,5288.0,8.074,0.037,0.615,0.033
Gaia DR2 1015799828959492352,DC,4967.0,7.917,0.046,0.519,0.038
Gaia DR2 1018214665731836032,DC,4874.0,7.502,0.024,0.316,0.014
Gaia DR2 1023278947569264896,DC,7124.0,8.225,0.032,0.717,0.029
Gaia DR2 1025090152458148096,DC:,4568.0,7.788,,0.456,
Gaia DR2 1026185403478262912,DC,5144.0,7.926,0.034,0.537,0.028
Gaia DR2 1026514226174393344,DC,6223.0,8.232,0.024,0.721,0.022
Gaia DR2 1027695136022450432,DC,5744.0,8.154,0.023,0.668,0.02
Gaia DR2 1034060277555338368,DC,9694.0,7.929,0.018,0.539,0.015
Gaia DR2 1035772904354245120,DC,4822.0,7.917,,0.529,
Gaia DR2 1038360708050042496,DC,5775.0,8.071,0.03,0.615,0.027
Gaia DR2 1039078998380506880,DC-IRfaint,4638.0,8.465,0.061,0.875,0.041
Gaia DR2 1040866941726072064,DC,6154.0,8.156,0.022,0.671,0.02
Gaia DR2 104118528470334720,DC,6872.0,7.406,0.028,0.291,0.014
Gaia DR2 1041763971415231872,DC:,4338.0,7.686,,0.403,
Gaia DR2 1043885758275341184,DC,9273.0,8.063,0.014,0.617,0.013
Gaia DR2 1047228922162323968,DC,6529.0,7.783,0.011,0.452,0.008
Gaia DR2 1048769578471443072,DC,5495.0,7.861,0.019,0.489,0.015
