age,Dage
0.11,
1.22,
0.12,
,
,
,
,
,
,
,
,
,
,
,
0.0015,0.0001
,
0.2174,
0.0001,
0.0035,0.0004
0.8971,
,
0.001437,
,
6.55,
,
,
,
,
,
,
,
,
,
,
0.0013,0.0005
,
,
,
,
0.0912,
,
2.017,
,
,
,
,
,
,
,
,
0.0068,0.0002
,
,
0.005,0.0001
,
,
,
,
,
0.0372,
,
,
,
,
,
0.0155,
0.9333,
,
,
0.0,
0.0051,0.0001
,
,
,
1.97,
0.5623,
,
0.0041,0.0003
,
,
,
,
,
,
,
,
,
,
,
,
,
,
1.5849,
,
,
0.4169,
,
,
,
,
1.44,0.05
,
,
,
8.95,
,
,
,
,
,
,
3.12,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2.63,
,
,
,
,
,
0.1549,
,
,
0.0062,0.0004
,
,
1.35,
,
,
0.0646,
0.0427,
,
,
,
5.23,
5.9,
,
,
,
,
0.0098,
,
,
,
,
,
,
,
,
,
,
1.0715,
,
,
,
1.81,
,
0.0741,
,
3.71,
,
,
,
,
,
8.36,
,
,
,
,
,
,
10.21,
4.89,
7.15,
,
,
,
,
6.33,
,
3.08,
6.08,
2.04,
2.39,
,
3.04,
,
,
3.57,
,
,
,
6.4,
1.53,0.17
2.66,0.52
,
,
,
,
,
5.47,0.34
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.08161,
0.3814,
0.0447,
,
0.4266,
,
,
,
,
,
0.0447,
,
,
,
,
,
0.0661,
4.82,
,
,
,
,
,
,
5.32,
,
,
,
,
,
,
,
,
,
0.2089,
,
,
0.8575,
,
,
,
,
,
,
,
,
0.2081,
,
0.0186,
,
,
,
,
,
2.19,
,
,
0.0087,0.0018
,
2.52,
,
0.0112,
,
,
,
,
,
0.0019,0.0004
,
,
,
0.257,
0.0263,
,
0.0052,0.0006
0.0692,
,
0.0001,
,
,
,
,
0.0316,
0.77,
,
0.94,
0.1347,
,
,
,
,
,
,
,
,
,
,
,
0.0039,0.0003
0.0076,0.0018
0.1549,
,
,
,
,
,
0.1778,
,
,
,
1.0233,
,
0.0001,
,
,
,
0.0107,
,
,
,
,
,
,
,
,
,
,
,
,
,
4.05,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
1.81,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.0102,
,
0.1233,
1.37,
0.1047,
,
0.0457,
,
,
,
,
,
,
,
,
,
,
0.2138,
4.41,
0.0014,0.0001
0.0501,
,
,
0.0006,0.0005
,
0.247,
,
,
,
,
,
,
,
0.0468,
,
,
,
0.0112,
,
,
,
,
0.0214,
,
,
,
0.0068,0.0006
,
,
,
,
,
,
,
,
0.309,
0.5012,
0.0692,
,
,
,
0.0398,
,
0.45,
,
,
,
,
,
,
,
0.2818,
,
1.82,
0.0033,0.0006
0.5735,
,
0.4169,
0.0004,0.0003
,
,
0.537,
,
,
,
0.4686,
,
,
0.0037,0.0011
0.7078,
,
,
,
,
,
,
,
,
,
,
,
,
1.023,
,
,
,
,
0.3981,
,
,
,
1.24,
,
2.96,
3.837,
,
,
,
,
0.3607,
0.1318,
,
,
0.2188,
1.21,
0.0056,0.0001
,
,
0.0617,
,
,
,
,
,
2.14,
,
,
,
0.5754,
,
,
,
,
,
,
,
,
,
0.2722,
,
,
,
,
1.2882,
,
0.1514,
0.006,0.0001
,
,
0.6918,
,
,
0.0295,
,
0.1288,
0.7244,
0.531,0.018
,
0.0646,
0.47,
4.25,
,
0.3481,
0.5528,
,
,
0.038,
0.2462,
,
,
,
,
,
,
0.0891,
,
,
,
,
,
,
1.9055,
0.0398,
,
,
,
,
,
,
3.01,
0.0036,0.001
0.0045,0.0003
,
,
,
0.0447,
,
,
,
,
0.0046,0.0002
4.35,
,
,
0.6114,
,
,
,
