wdid,spectype,teff,Dteff,logg,Dlogg
1FGL J1338.9+1153,DC,6300.0,3.0,10.0,0.5
1RXS J000359.1+433600,DA,46850.0,1244.0,9.05,0.1
1RXS J023947.9+500349,DA,34150.0,510.0,8.67,0.05
1RXS J041051.2+592522,DA,30640.0,443.0,7.94,0.05
1RXS J055047.4-240853,DA,54380.0,1225.0,8.02,0.08
1RXS J062052.2+132436,DA,52790.0,1223.0,7.89,0.08
1RXS J063340.1+200149,DA,61170.0,2120.0,8.97,0.12
1RXS J072817.0+273129,DA,49011.0,949.0,8.0,0.08
1RXS J091657.6-194613,DA,61920.0,2764.0,9.32,0.15
1RXS J093922.8+264404,DA,55978.0,1280.0,7.82,0.08
1RXS J101340.6+061556,DA,14375.0,603.0,7.64,0.198
1RXS J120428.0+581934,DA,16786.0,,8.266,
1RXS J132634.4+571052,DAO,91677.0,20574.0,6.6,0.37
1RXS J143738.0+362237,DA,41128.0,1414.0,7.87,0.16
1RXS J163421.8+365859,DA,10358.0,,8.325,
1RXS J174614.9-703902,DA,52260.0,1045.0,8.75,0.07
1RXS J203455.3-273457,DA,55956.0,1080.0,7.78,0.065
1RXS J232431.0-544148,DA,45920.0,795.0,7.82,0.06
2MASS J00022257+6357443,DC,4879.0,38.0,7.939,0.032
2MASS J00050491+2434098,DA+dM4.5,7597.0,27.0,5.0,0.01
2MASS J00053105-0543432,DA+dM5,16417.0,150.0,7.33,0.022
2MASS J00173691+1451019,DC,6300.0,3.0,8.98,0.034
2MASS J00274169-0300586,DBA,18570.0,,8.293,
2MASS J00341617-0008495,DA+K,10080.0,2.0,9.89,0.132
2MASS J00423250+4154031,DA+M,8202.0,78.0,6.222,0.116
2MASS J01021606-1015043,DA,17921.0,345.0,7.975,0.019
2MASS J01041212-5742485,DA6.5,7866.0,375.0,7.52,0.013
2MASS J01140322-3750415,DA,83794.0,2744.0,7.125,0.093
2MASS J01213782+3440431,DZ,7326.0,55.0,8.293,0.011
2MASS J01441057+2834091,DA?,55361.0,1575.0,8.04,0.09
2MASS J01503855-7207164,DC,6838.0,62.0,8.132,0.025
2MASS J02114816+2115491,DAH,12244.0,134.0,8.752,0.009
2MASS J02145697+7746000,DC,4798.0,110.0,8.175,0.081
2MASS J02230030+5544272,DA,6993.0,67.0,8.342,0.024
2MASS J02451962-0256280,DC,9557.0,1000.0,9.0,0.5
2MASS J02494417+3307251,DA,5715.0,14.0,7.995,0.006
2MASS J02581440+0638496,DA+M,7655.0,,6.99,
2MASS J03003728+6228285,DC5,9364.0,95.0,7.329,0.02
2MASS J03005951+5432377,DA,7650.0,28.0,8.055,0.007
2MASS J03092486+0025256,DC-IRfaint,5561.0,31.0,8.166,0.009
2MASS J03105758+6634022,DC,4681.0,53.0,7.817,0.039
2MASS J03214001+4153073,DB+M3,6300.0,3.0,10.0,0.003
2MASS J03403873-0029447,DA,7311.0,35.0,8.167,0.01
2MASS J03432310+1958133,DA,7117.0,58.0,8.44,0.018
2MASS J04010150+5131304,DC,5064.0,15.0,8.233,0.006
2MASS J04221133-4741421,DB,25970.0,500.0,7.79,0.08
2MASS J04255699+4614177,DC,4479.0,170.0,8.25,0.123
2MASS J04325585-3557289,DA,4971.0,35.0,7.854,0.029
2MASS J04332980+0414477,DA,4961.0,36.0,8.05,0.028
2MASS J04421826-0448202,DA+M3,6300.0,3.0,5.0,0.005
2MASS J04555136+3840505,DA,5063.0,49.0,8.035,0.039
2MASS J05155350+2839169,DAH,6411.0,42.0,8.178,0.019
2MASS J05265609+4435395,DC,4680.0,81.0,7.853,0.063
2MASS J06023672+0904237,DA,5956.0,51.0,7.941,0.03
2MASS J06214164-4016187,DZ,6151.0,40.0,8.184,0.019
2MASS J06322939+2230050,DA,5449.0,66.0,7.961,0.047
2MASS J06443019+2731115,DA,6961.0,30.0,8.383,0.008
2MASS J06503681+1657538,DA,5052.0,61.0,8.028,0.047
2MASS J07052557+2707422,DA+M,,,,
2MASS J07085228-6706314,DCP,4862.0,22.0,7.86,0.018
2MASS J07111440-2518152,DA4.5,10708.0,356.0,7.414,0.006
2MASS J07130971+4012495,DA+M3,6300.0,3.0,5.0,0.005
2MASS J07312832+2643539,DA+M,,,,
2MASS J07344565+1554488,DA+M4,6300.0,3.0,5.0,0.003
2MASS J07353430+6506487,DA+M4,6300.0,2.0,5.07,0.119
2MASS J07372134+4641369,DA+M,6301.0,4.0,5.3,0.22
2MASS J07402413+2029372,DA,19173.0,,7.994,
2MASS J07475875+2229422,DA+M3,6300.0,4.0,5.0,0.005
2MASS J07485048+3019450,DA,22000.0,,8.0,0.0
2MASS J07503233+0918580,DA,5111.0,20.0,7.947,0.012
2MASS J08000388+5035454,DA+M3,22550.0,346.0,8.08,0.05
2MASS J08020022-5327499,DA,21970.0,331.0,7.82,0.04
2MASS J08024297+1750009,DA,25276.0,386.0,7.42,0.05
2MASS J08061173+3344271,DB,15538.0,,8.09,
2MASS J08075600+4854195,DA,6546.0,36.0,8.06,0.014
2MASS J08084617+3131060,DOAe,6300.0,3.0,10.0,0.003
2MASS J08095109+2250541,DA,6660.0,22.0,8.179,0.009
2MASS J08182042+2705328,DA,81046.0,1753.0,7.39,0.05
2MASS J08203701+4310048,DA,6925.0,19.0,7.369,0.013
2MASS J08221922+2023264,DC,7038.0,23.0,7.546,0.007
2MASS J08225756+1844001,DA,15416.0,,7.823,
2MASS J08313272+1322444,DA,15819.0,170.0,7.916,0.01
2MASS J08400640+1430256,DA+M,,,,
2MASS J08490170+4439355,DC,5907.0,19.0,8.155,0.018
2MASS J08554980+3700171,DA,5757.0,19.0,7.735,0.01
2MASS J09030286+3855274,DA+dCe,10080.0,6.0,8.01,0.278
2MASS J09063859+0700598,DA,17262.0,206.0,7.956,0.01
2MASS J09071236+3643184,DA,8632.0,44.0,8.257,0.008
